id,name,part,count,originalID
1,Axle7modulegrey,4211805,5,3
2,Bushing1modulegrey,4211622,10,4
3,Axlewithstop4moduledarkgrey,4560177,2,5
4,Axlewithstop8moduledarkgrey,4499858,2,9
5,Connectorpegwithaxle2modulebeige,4666579,8,11
6,Axle4moduleblack,370526,4,17
7,Pointer3modulewhite,4173941,4,21
8,TBeam3x3moduleblack,4552347,4,24
9,Angularbeam4x4modulewhite,4509912,6,26
10,Angularbeam3x7modulegrey,4211624,4,30
11,Beam3modulered,4153718,4,32
12,Doubleangularbeam3x7modulewhite,4495412,4,36
13,Beam11modulegrey,4611705,4,37
14,Beam13modulegrey,4522934,6,42
15,Angularbeam3x5modulewhite,4585040,4,44
16,Gear24toothdarkgrey,4514558,4,69
17,Gear40toothgrey,4285634,2,70
18,Doublebevelgear36toothblack,4255563,2,77
19,Gear4toothblack,4248204,4,82
